question,answer,source_jurisdiction,source_citation,source_text
What changes were made to the basement piling methodology in the case of Collaroy Street Pty Ltd v Northern Beaches Council [2023] NSWLEC 1555?,"In the case of Collaroy Street Pty Ltd v Northern Beaches Council [2023] NSWLEC 1555, the basement piling methodology was amended to incorporate an extent of bored secant piles in the proximity of an existing neighbouring building. This change was made to reduce the risk of damage to the neighbouring structure as bored secant piles result in less vibration than driven sheet piles proposed elsewhere in the basement.",new_south_wales,Collaroy Street Pty Ltd v Northern Beaches Council [2023] NSWLEC 1555,"13. Of particular note, the MA has been amended to resolve a key contention pressed by the Respondent. The effect of this amendment is to refine the basement piling methodology to incorporate an extent of bored secant piles in the proximity of an existing neighbouring building. The bored secant piles result in less vibration than driven sheet piles proposed elsewhere in the basement and thereby reduces the risk of damage to the neighbouring structure. 14. The parties agree, and I am satisfied, that the Warringah Local Environmental Plan 2011 (WLEP) is a relevant environmental planning instrument. At the date the DA was granted consent, the site was zoned B2 Local Centre. More recently, the site has been rezoned to E1 Local Centre and the proposed development - characterised as shop-top housing - remains permissible with consent. I am satisfied the amended MA maintains the objectives of both the B2 and E1 zones. 15. The parties agree, and I am satisfied, that all principal development standards of the WLEP are maintained by the amended MA. 16. The parties agree, and I am satisfied, that the amended MA is subject to the provisions of State Environmental Planning Policy (Building Sustainability Index: BASIX) 2004 (SEPP BASIX). An amended BASIX certificate, dated 5 May 2023, has been submitted with the MA. Conditions of consent are imposed to ensure compliance with the BASIX certificate. 17. The parties agree, and I am satisfied, that the amended MA is subject to the provisions of State Environmental Planning Policy No 65—Design Quality of Residential Apartment Development (SEPP 65)."
"In the case of C-Mac Industries (Aust) Pty Limited v Juan Carlos Invernizzi & Ors [2008] NSWDC 88, what was the plaintiff entitled to recover from Goldberg?","In the case of C-Mac Industries (Aust) Pty Limited v Juan Carlos Invernizzi & Ors [2008] NSWDC 88, the plaintiff was entitled to recover the amount of $80,438.08 from Goldberg.",new_south_wales,C-Mac Industries (Aust) Pty Limited v Juan Carlos Invernizzi & Ors [2008] NSWDC 88," 36 This invoice relates to two Bisalloy screens manufactured by the plaintiff for the Debtor. One screen was delivered. The Debtor refused to take delivery of the remaining screen. The debtor paid the plaintiff $3,898.26 in relation to the invoice. In the absence of evidence to the contrary, and having regard to the Debtor’s failure to pay for other items in respect of which it did not accept delivery, the inference the Court draws is that the amount of $3,898.26 is payment for the screen which was delivered by the plaintiff to the Debtor. 37 In relation to the balance owing by the Debtor to the plaintiff under this invoice in the amount of $2,153.48, McMaster’s evidence was that this screen could not be sold to anyone else because it was tailor made for the Debtor and there was otherwise no available market. Accordingly, the plaintiff’s loss as a consequence of the Debtor’s refusal to accept and pay for this screen is $2,153.48. In turn, Goldberg is liable to the plaintiff in this amount. 38 It follows that the plaintiff is entitled to recover from Goldberg the amount of $80,438.08. "
What were the reasons given by Mr. Kemball for killing his case manager in the case R v Kemball [2020] NSWSC 1559?,"In the case R v Kemball [2020] NSWSC 1559, Mr. Kemball stated that he killed his case manager due to an argument about the case manager's holidays in Asian countries. He also claimed that he believed his case manager was guilty of crimes against humanity. He had various persecutory delusions about his case manager hurting people and was resentful about his psychiatric care and need for medication.",new_south_wales,R v Kemball [2020] NSWSC 1559," He talks about an altercation with his case manager and this seems intertwined with his resentment and lack of insight into his psychiatric care [and] need for psychiatric medication. He was also resentful about his CTO. He had various persecutory delusions about his case manager hurting people and, in some way, the Balmain police knew about these activities. He alleged the case manager used to go to the Philippines and was the ‘cause of battle zones’. He claimed his case manager was a ‘beast’. When I asked him why he killed his case manager and he stated, ‘We argued about his holidays. In Asian countries. Previous colleagues asked me if I liked snuff (child pornography)’. He also claimed, ‘I thought he (the deceased) was guilty of crimes against humanity’. He claimed he was unsure how he received wounds to his hands and legs and claimed he could not remember the details. He stated, ‘I just remember having a clamp on my leg, someone writing on my forehead, it was like Star Wars. I’m not sure what my situation was, I think it’s been taken care of’. ‘Carl, Stevie Douglas, he can go through people’s sleep and leave a two dollar coin. The way to avoid it was with piggy banks’. When asked why Carl would leave coins he replied, ‘I don’t know, aliens, men in black…Stevie Douglas was Lucifer’. ‘It was still going on, the constant harassment’. When he asked what the harassment was [he] stated, ‘It was blocking my development’. Mr Kemball alleged that he was being harassed ‘by Stevie Douglas and his crew’. ‘I think it was a job, part of being a law enforcer’. He also claimed he was on a mission but when questioned about the mission, he claimed he was worried about his father and keeping him safe."
"In the context of Australian immigration law, what is the significance of the ""real chance"" test and how does it relate to the concept of a ""well-founded fear of persecution""?","In the decision of Buchari v Minister for Immigration & Multicultural Affairs [2001] FCA 432, it was noted that while the ""real chance"" test can be helpful, the Convention actually refers to a ""well-founded fear of persecution"". The Tribunal must address this issue and it is not necessarily problematic if it did not specifically apply the ""real chance"" test. The High Court in Minister for Immigration and Ethnic Affairs v Guo (1997) 144 ALR 567 at 576 warned that the term 'real chance' should not be used as a replacement or substitution for 'well-founded', but rather tribunals should apply the language of the Convention. They should bear in mind that a fear of persecution may be well-founded even though the evidence does not show that persecution is more likely than not to eventuate.",commonwealth,Buchari v Minister for Immigration & Multicultural Affairs [2001] FCA 432," 26 It is also necessary to remember that however helpful the “real chance” test may be, the Convention refers to a “well-founded fear of persecution”. Provided the Tribunal has addressed that issue, it is not to the point if it did not specifically apply the “real chance” test. To suggest otherwise is to ignore the express warning of the majority of the High Court in Minister for Immigration and Ethnic Affairs v Guo (1997) 144 ALR 567 at 576: “In this and other cases, the tribunal and the Federal Court have used the term ‘real chance’ not as epexegetic of ‘well-founded’, but as a replacement or substitution for it. Those tribunals will be on safer ground, however, and less likely to fall into error if in future they apply the language of the Convention while bearing in mind that a fear of persecution may be well-founded even though the evidence does not show that persecution is more likely than not to eventuate.”"
"In the case of Anastassios Carydias v The Greek Orthodox Community of Melbourne and Victoria [1995] IRCA 134, what was the court's view on the allegations of fraud against the applicant?","In the case of Anastassios Carydias v The Greek Orthodox Community of Melbourne and Victoria [1995] IRCA 134, the court did not find the allegations of fraud against the applicant to be substantiated when applying the appropriate standard of proof.",commonwealth,Anastassios Carydias v The Greek Orthodox Community of Melbourne and Victoria [1995] IRCA 134," 5. In about March 1994 Mr Fountas saw one of the applicant's credit card statements in the supporting documentation relating to cheques which were to be signed. Although there was some discussion about the amounts on the statement there was no inquiry by Mr Fountas as to why the respondent should be paying the applicant's credit card bill. Furthermore if the applicant had been engaged in fraud as alleged it is a surprising reaction on his part to dispute the amount of his termination pay because it should have been based on a salary of $59,000.00 per annum. Accordingly I do not think the allegations of fraud are made out in applying the appropriate standard of proof."
"In the case of Pennant Hills Restaurants Pty Ltd v Barrell Insurances Pty Ltd [1981] HCA 3, how was the contingency of the injured worker's potential marriage and his wife's dependence on him addressed?","In the case of Pennant Hills Restaurants Pty Ltd v Barrell Insurances Pty Ltd [1981] HCA 3, the contingency of the injured worker potentially marrying and his wife becoming wholly dependent on him was broadly met by adopting the assessment for it made by Reynolds J.A. in the Court of Appeal. However, his discounting by five per cent tables was eliminated and the allowance for this contingency was proportionately increased.",commonwealth,Pennant Hills Restaurants Pty Ltd v Barrell Insurances Pty Ltd [1981] HCA 3,"payable between 9th December 1977 and 16th December 1977. 189.14 6. The injured worker may marry and his wife may become wholly dependent on him. This contingency may be broadly met by adopting the assessment for it made by Reynolds J.A. in the Court of Appeal. Consistent with the undiscounted approach however, his discounting by five per cent tables is eliminated and the allowance for this contingency proportionately increased. 6,236.25 7. Interest awarded by the Court of Appeal 3,500.00 $345,129.40"
What were the two factors identified in support of finding that Ashley James Alchin has shown cause for his release application in the case R v Alchin [2015] NSWSC 2112?,"In the case R v Alchin [2015] NSWSC 2112, two factors were identified in support of finding that Ashley James Alchin has shown cause for his release application. The first factor was the birth of Alchin's first child, who was three months old at the time, which was considered a motivating factor for him to comply with conditional bail. The second factor was the likelihood of a lengthy period on remand awaiting the trial date, during which Alchin would see very little of his child if bail was refused. This was seen as a factor likely to perpetuate the cycle of disadvantage and deprivation notoriously faced in indigenous communities and specifically faced in Alchin's family.",new_south_wales,R v Alchin [2015] NSWSC 2112,"Judgment 1. HER HONOUR: Before the Court is a release application by Ashley James Alchin. He is 32 years of age. The applicant faces a series of charges in respect of which he has bail. He has been refused bail for an offence of aggravated entering a dwelling knowing there were people there. I have been addressed as to the strength of that charge and I accept it is one of word against word in circumstances of conflict between two families or people. 2. The applicant faces a show cause requirement and needs to demonstrate cause why his detention is not justified. Two matters have been identified in support of finding that the applicant has shown cause. One is the birth of the applicant’s first child, who is three months old. That appears to be a matter which would motivate him to comply with conditional bail. 3. Secondly, the matter is an indictable matter which will have to be committed to the District Court and there is a likelihood of a lengthy period on remand awaiting the trial date. During that period the applicant would in all likelihood see very little of the child if bail is refused. That is a factor which seems to me to be likely to perpetuate the cycle of disadvantage and deprivation notoriously faced in indigenous communities and, as a matter of evidence in the material before me, specifically faced in the family of this applicant. If the Court can reasonably impose conditions which are calculated to break that cycle, in my view it should. That is a strong factor in my finding cause shown. 4. I am satisfied that there is a risk that the applicant would commit a serious offence if released on bail having regard to the matters in his history, but it is one which, I think, can be mitigated by conditions requiring him and encouraging him to engage with family life and to continue to engage with medical treatment through the Aboriginal Medical Service."
"In the case of Hometeam Constructions Pty Ltd v McCauley [2005] NSWCA 303, did the court consider the appellant's failure to formally seek an extension of time for rectification work as a breach of contract?","In Hometeam Constructions Pty Ltd v McCauley [2005] NSWCA 303, the court did not consider the appellant's failure to formally seek an extension of time for rectification work as determinative of a breach of contract. The court held that the appellant's failure to make proper claims for variations due to administrative neglect did not affect the enquiry into whether due diligence was shown in actually performing the work.",new_south_wales,Hometeam Constructions Pty Ltd v McCauley [2005] NSWCA 303," 192 Turning to the first way in which the respondent put her case on lack of due diligence, Ms Olsson contended that in the absence of a formal claim for an extension of time pursuant to cl 9.2 in respect of the rectification work, the appellant was in breach of contract when the Works were not completed at the end of 37 weeks. She submitted the primary judge had correctly concluded (at [142]) that the appellant had not made any claim for extension of time in respect of the rectification work. 193 The primary judge did not base her conclusion that Mr McCauley was entitled to issue the Notice of Default on the appellant’s failure to make a formal cl 9 application for an extension of time in relation to the rectification work. It is plain she accepted the appellant was entitled to a reasonable period to allow for the rectification work – which she assessed at 8 weeks (a period the appellant challenges). There was no Notice of Contention seeking to sustain the judgment on the basis that her Honour ought to have taken that course. However this was a matter the respondent strongly urged on the Court and one Ms Olsson informed the Court the respondent had also relied on below. 194 In my view the appellant’s failure to seek a formal extension of time in a case where the issue is whether it performed the Works with due diligence cannot be determinative. The fact that the appellant, through administrative neglect but not neglect in carrying out the work, fails to make proper claims for variations does not affect the enquiry, whether, in actually performing the work, due diligence was shown. "
"In the context of corporate responsibility in New South Wales, does the division of function among officers of a corporation responsible for different aspects of the same transaction relieve the corporation from responsibility?","No, the division of function among officers of a corporation responsible for different aspects of the same transaction does not relieve the corporation from responsibility. This is determined by reference to the knowledge possessed by each of them, as stated in the decision of Integral Energy Australia v EDS (Australia) Pty Limited & Ors [2006] NSWSC 600.",new_south_wales,Integral Energy Australia v EDS (Australia) Pty Limited & Ors [2006] NSWSC 600," A division of function among officers of a corporation responsible for different aspects of the one transaction does not relieve the corporation from responsibility determined by reference to the knowledge possessed by each of them (See Dunlop v Woollahra Municipal Council [1975] 2 NSWLR 446 at 485 Tesco Supermarkets Ltd v Nattrass [1972] AC 153 at 170). Neither Cini nor Ryan was called to give evidence. It is erroneous to make a finding as to the company's intention or willingness to misrepresent the contractual arrangements with Swaeder without reference to the knowledge of Cini and Ryan. 20 Another reason for requiring the plaintiff to identify the persons behind the alleged representations is that the subjective sense in which the representation was intended by the representee to be understood is an essential enquiry for a claim in fraud. In this respect, the majority in Krakowski said that (at 578, see also at 576-577): In order to succeed in fraud, a representee must prove, inter alia, that the representor had no honest belief in the truth of the representation in the sense in which the representor intended it to be understood. "
"Under the Civil Aviation Regulations 1998 of the Commonwealth of Australia, what is the required compliance for the inspection of the Rudder Tab Mass Balance Hinge Pin in GAF N22 and N24 Series Aeroplanes?","Under the Civil Aviation Regulations 1998 of the Commonwealth of Australia, the required compliance for the inspection of the Rudder Tab Mass Balance Hinge Pin in GAF N22 and N24 Series Aeroplanes is within 50 hours time in service after 16 March 1979 and thereafter at intervals not exceeding 100 hours time in service until modified in accordance with Alert SB No. ANMD-55-6. This applies to all models N22, N22B, N24 and N24A with Mod. N39 fitted and delivered before 1 March 1979.",commonwealth,AD/GAF-N22/26 - Rudder Tab Mass Balance Hinge Pin - Inspection (Cth)," COMMONWEALTH OF AUSTRALIA (Civil Aviation Regulations 1998), PART 39 - 105 CIVIL AVIATION SAFETY AUTHORITY SCHEDULE OF AIRWORTHINESS DIRECTIVES GAF N22 and N24 Series Aeroplanes AD/GAF-N22/26 Rudder Tab Mass Balance Hinge Pin - Inspection 5/79 Applicability: All models N22, N22B, N24 and N24A with Mod. N39 fitted and delivered before 1 March 1979. Document: GAF Alert SB No. ANMD-55-6. Compliance: Within 50 hours time in service after 16 March 1979 and thereafter at intervals not exceeding 100 hours time in service until modified in accordance with Alert SB No. ANMD-55-6. Background: An instance has occurred where the rudder tab mass balance hinge pin seized in its bush and sheared the split pin retaining the hinge pin. "
"In the case of Hill on behalf of the Yirendali People Core Country Claim v State of Queensland (No 2) [2015] FCA 538, why did the court decide to vacate the trial date?","In the case of Hill on behalf of the Yirendali People Core Country Claim v State of Queensland (No 2) [2015] FCA 538, the court decided to vacate the trial date because it reached the view that the applicant had been afforded all the time that ought to be allowed in terms of procedural fairness and the devotion of public resources to a particular claim by a particular native title group. The court was also influenced by the view that the statement made in open court by the applicant provided a sufficient basis, in terms of affording procedural fairness to respondents, particularly pastoral respondents, for vacating the trial date.",commonwealth,Hill on behalf of the Yirendali People Core Country Claim v State of Queensland (No 2) [2015] FCA 538,"9 The point of all this, then, is that there is a need for time to be given for the respondent parties to seek consequential orders. There is also a need to recognise, as I have said, that there comes a time, in relation to an exercise of judicial power, where an applicant has been afforded all the time that ought to be allowed in terms of procedural fairness and the devotion of public resources to a particular claim by a particular native title group. As I have observed already, that time, in respect of this claim, has, in my view, passed today, having regard to the statement made in open court. 10 It is theoretically possible, and this was the subject of a very particular concern voiced on behalf of pastoral interests, that the applicant might later seek in this case, perhaps if equipped with further resources, to re enliven its claim for native title. Such an application would, of course, have to be dealt with on the merits but against the very particular background that I have described. Further, in granting the adjournment and the vacation of the trial, I have been expressly influenced by the view that, taking into account the interests of all respondents in certainty, the statement made in open court today by the applicant provides a sufficient basis, in terms of affording procedural fairness to respondents, particularly pastoral respondents, for vacating the trial date. In other words, in deciding to vacate the trial date, I am doing that because I have reached a view that the applicant has had its time to prove its case. I certify that the preceding ten (10) numbered paragraphs are a true copy of the Reasons for Judgment herein of the Honourable Justice Logan."
What was the decision of the General Administrative Division of the Administrative Appeals Tribunal in the case of Cray Communications Ltd v Collector of Customs [1998] FCA 122 regarding the classification of certain goods?,"In the case of Cray Communications Ltd v Collector of Customs [1998] FCA 122, the General Administrative Division of the Administrative Appeals Tribunal affirmed the decision under review of the respondent’s delegate to classify certain goods to item 8517.30.00 “- Telephonic or telegraphic switching apparatus” in Schedule 3 of the (then) Customs Tariff Act 1987 (Cth). The goods in question were known as “Multi-function Access and Backbone Switches series 8425 and 8525”. The applicant contended that the goods should have been classified under item 8517.40.10 as - “- Other apparatus, for carrier-current line systems: ---Goods, as follows: (a) . . . (b) multiplexors, of the time division or statistical type, being goods of a kind having operational transmission speeds of not more than 2.5 megabits/second”.",commonwealth,Cray Communications Ltd v Collector of Customs [1998] FCA 122,"REASONS FOR JUDGMENT HIS HONOUR: This is an appeal from the decision of the General Administrative Division of the Administrative Appeals Tribunal constituted by Senior Member Allen, Mr Coffey, and Mr Way, given on 27 September 1995. The Tribunal affirmed the decision under review of the respondent’s delegate to classify certain goods to item 8517.30.00 “- Telephonic or telegraphic switching apparatus” in Schedule 3 of the (then) Customs Tariff Act 1987 (Cth) (“the Act”). The goods in question are known as “Multi-function Access and Backbone Switches series 8425 and 8525”. It was the contention of the applicant before the Tribunal that the primary decision-maker should have classified the goods pursuant to item 8517.40.10 as - “- Other apparatus, for carrier-current line systems: ---Goods, as follows: (a) . . . (b) multiplexors, of the time division or statistical type, being goods of a kind having operational transmission speeds of not more than 2.5 megabits/second” Statutory framework The Act provides for the imposition of duties of Customs on imported goods (s 21). Pursuant to s 22 the duty in respect of such goods is to be ascertained, so far as presently relevant, “by reference to the general rate set out in the third column of the tariff classification under which the goods are classified”. Section 9 of the Act provides: “A reference in this Act to the tariff classification under which goods are classified is a reference to the heading or subheading; (a) in whose third column a rate of duty or the quota sign is set out; and (b) under which the goods are classified.”"
What were the proposed grounds of appeal in the case of Tran v R [2018] NSWCCA 145 in New South Wales?,"In the case of Tran v R [2018] NSWCCA 145 in New South Wales, the proposed grounds of appeal were: 1. the trial judge denied the applicant procedural fairness by refusing to recognise that she had standing on the application; 2. the trial judge failed to take into account a material consideration that the Crown and/or police had not attempted to obtain evidence from Mr Nguyen; and 3. the trial judge’s findings about Mr Nguyen were plainly unreasonable.",new_south_wales,Tran v R [2018] NSWCCA 145,"Application for leave to appeal and proposed grounds of appeal 19. On 21 June 2018, the applicant filed an amended application seeking leave to appeal under s 5F of the Criminal Appeal Act. The interlocutory judgment or order identified was that referred to in paragraph [18], made under s 18 of the Evidence Act. It was made clear at the hearing of this application that this amended application was the one being prosecuted. The proposed grounds of appeal identified were: 1. the trial judge denied the applicant procedural fairness by refusing to recognise that she had standing on the application; 2. the trial judge failed to take into account a material consideration that the Crown and/or police had not attempted to obtain evidence from Mr Nguyen; and 3. the trial judge’s findings about Mr Nguyen were plainly unreasonable. 20. On 28 June 2018, Mr Ba Bao Tran also filed an application seeking leave to appeal out of time under s 5F of the Criminal Appeal Act. At the hearing of that application in this Court, counsel for Mr Ba Bao Tran withdrew that application, which need not be further considered."
What were the two components of Zomojo's claim for damages against Hurd in the case Hurd v Zomojo Pty Ltd [2015] FCAFC 147?,"In the case Hurd v Zomojo Pty Ltd [2015] FCAFC 147, Zomojo's claim for damages against Hurd had two components. First, Zomojo claimed the value of the time which Hurd devoted to his other business interests whilst he was still employed by Zomojo in the period to 11 February 2011. This claim arose under clause 3 of Hurd’s service agreement. Second, Zomojo claimed out of pocket losses arising from the need to engage a recruitment agency to replace the staff to whom Hurd, in breach of that agreement, offered other employment.",commonwealth,Hurd v Zomojo Pty Ltd [2015] FCAFC 147,"(g) The proceedings before Jessup J — Quantum 35 Jessup J dealt with the question of quantum and other relief flowing from the decision of Gordon J, including the damages to which Zomojo was entitled as against Hurd in consequence of the findings made by Gordon J. 36 As we have said, one of the orders made by Gordon J on 5 February 2013 was that: Nunc pro tunc, the hearing of the proceeding be split between liability (including all of the cross claim) and quantum. 37 Zomojo’s claim for damages against Hurd had two components. First, Zomojo claimed the value of the time which Hurd devoted to his other business interests whilst he was still employed by Zomojo in the period to 11 February 2011. This claim arose under cl 3 of Hurd’s service agreement. Second, Zomojo claimed out of pocket losses arising from the need to engage a recruitment agency to replace the staff to whom Hurd, in breach of that agreement, offered other employment. 38 On 6 May 2014, Jessup J made a declaration and various orders (Zomojo Pty Ltd v Hurd (No 4) [2014] FCA 441) including the following which it is necessary to set out in order to appreciate one of Hurd’s arguments before us: THE COURT DECLARES THAT: 1. Each of the patent applications identified in the first column hereunder records or refers to, and concerns the technology or techniques employed in, the Product (within the meaning of Order 12 made by the court on 5 February 2013) correspondingly identified in the second column hereunder. Patent applications Products P0001AU – A Method and a System for Sending an Electronic Message Zepto Access KRX"
"In the case of SOCARES Support Group Inc v Cessnock City Council [2012] NSWLEC 23, what was the nature of the interaction between Mr. Marcus Nicholls, owner of Akuna Care Pet Hotel, and the Cessnock City Council?","In the case of SOCARES Support Group Inc v Cessnock City Council [2012] NSWLEC 23, Mr. Marcus Nicholls, owner of Akuna Care Pet Hotel and director of Akuna Care Pty Limited, was contacted by Ms Jenny Lange, Environmental Health Officer of the Council. Ms Lange communicated that the Council was considering building a new pound in Cessnock Shire and requested to visit the Akuna Care Pet Hotel for ideas on how it should be built. Mr Nicholls understood ""new pound"" to refer to a replacement for Kurri Kurri Animal Shelter, Kurri Kurri. On 19 October 2010, Ms Lange and Mr Colin Davis visited Akuna Care Pet Hotel and Mr Nicholls took them on an inspection of the kennels. During the inspection, Ms Lange asked Mr Nicholls if he would be interested in running the pound, to which he replied ""No"".",new_south_wales,SOCARES Support Group Inc v Cessnock City Council [2012] NSWLEC 23,"Evidence 15The Applicant read in part and subject to relevance, the affidavit of Marcus Nicholls, owner of Akuna Care Pet Hotel and director of Akuna Care Pty Limited, filed on 28 October 2011. Mr Nicholls is not related to or involved with the Applicant. Akuna Care Pet Hotel operates 72 boarding kennels on 10 acres of land at Sawyers Gully near Cessnock, providing daily, weekly and longer term commercial boarding services to owners of dogs and cats. 16On or about 12 October 2010 Mr Nicholls received a telephone call from Ms Jenny Lange, Environmental Health Officer of the Council who communicated that the Council was thinking of building a new pound in Cessnock Shire and requested to visit the Akuna Care Pet Hotel with her supervisor ""to have a look around [his] facility for ideas on how it should be built"". Mr Nicholls understood ""new pound"" to refer to a replacement for Kurri Kurri Animal Shelter, Kurri Kurri. On 19 October 2010 Ms Lange and Mr Colin Davis arrived at Akuna Care Pet Hotel and Mr Nicholls took them on an inspection of the kennels. During the inspection Ms Lange asked Mr Nicholls whether he would be interested in running the pound and he replied ""No""."
What is the responsibility of a person using material from the judgment or decision of the Industrial Relations Commission of New South Wales in the case of Decision Number Not in Use [2008] NSWIRComm 1067?,"In the case of Decision Number Not in Use [2008] NSWIRComm 1067, the Industrial Relations Commission of New South Wales states that the onus remains on any person using material in the judgment or decision to ensure that the intended use of that material does not breach any suppression orders or statutory provisions prohibiting publication that may apply to this judgment or decision. Further enquiries may be directed to the Registry of the Court or Tribunal in which it was generated.",new_south_wales,Decision Number Not in Use [2008] NSWIRComm 1067,Industrial Relations Commission of New South Wales CITATION: Decision Number Not in Use [2008] NSWIRComm 1067 FILE NUMBER(S): of CORAM: Macdonald C DECISION: DISCLAIMER - Every effort has been made to comply with suppression orders or statutory provisions prohibiting publication that may apply to this judgment or decision. The onus remains on any person using material in the judgment or decision to ensure that the intended use of that material does not breach any such order or provision. Further enquiries may be directed to the Registry of the Court or Tribunal in which it was generated.
Who represented the first and second respondents in the case of Quo Warranto Pty Ltd v Goodman (No 2) [2023] NSWCATAP 142?,"In the case of Quo Warranto Pty Ltd v Goodman (No 2) [2023] NSWCATAP 142, the first and second respondents were represented by Counsel Mr M Forgacs and the solicitors from Bugden Allen Graham.",new_south_wales,Quo Warranto Pty Ltd v Goodman (No 2) [2023] NSWCATAP 142," William Theo Locke and Nicole Jeanne Locke (Second Respondents) Strata Choice Pty Ltd (Third Respondent) The Owners – Strata Plan No. 15482 (Fourth Respondent) Michael Braham Joel and Alexandra Joel (Fifth Respondents) Representation: Counsel: Mr M Forgacs (First and Second Respondents) Solicitors: Atanaskovic Hartnell (Appellant) Bugden Allen Graham (First and Second Respondents) Speirs Ryan (Fifth Respondent) File Number(s): 2021/00325119 Publication restriction: Nil Decision under appeal Court or tribunal: Civil and Administrative Tribunal Jurisdiction: Consumer and Commercial Division Citation: N/A Date of Decision: 15 October 2021 Before: G Ellis SC, Senior Member File Number(s): SC 21/18734 "
"In the case of McMullin, Brian and Anor v ICI Australia Operations Pty Ltd & Ors [1996] FCA 991, what was the argument of the counsel for the applicants regarding the evidence required to support their claims?","In the case of McMullin, Brian and Anor v ICI Australia Operations Pty Ltd & Ors [1996] FCA 991, the counsel for the applicants argued that it was unnecessary for him to call evidence from each of the group members in order to obtain findings against the respondents. He conceded that some of the group members must be called, particularly because some of the causes of action include a personal element such as reliance, causation or damage. However, his argument was that if these ingredients are established in connection with some group members, and the factors of general application are also proved, the applicants will be entitled to findings in their favour on liability. It would then be appropriate to move to the next stage of the trial: a one by one examination of the circumstances of each group member, this member being called to prove reliance or causation, as the case may be, and the precise extent of his or her damage.",commonwealth,"McMullin, Brian and Anor v ICI Australia Operations Pty Ltd & Ors [1996] FCA 991","Counsel for ICI objected to this proposal. They said their clients' defence would include the claim that the cause of the contamination of the cattle was the mismanagement of Helix by the cross respondents; much of the evidence that would be required to support the cross-claims would, in any event, be required for their clients' defence. This consideration points to the desirability of the cross-claims being tried at the same time as the principal action. But there are problems about that course. The main problem arises from the fact that this is a representative proceeding involving hundreds of group members. The view taken by counsel for the applicants is that it is unnecessary for him to call evidence from each of the group members in order to obtain findings against the respondents. He concedes that some of the group members must be called, if only because some of the causes of action include as an ingredient a personal element such as reliance, causation or damage. But his argument is, and apparently will be at the trial, that if these ingredients are established in connection with some group members, and the factors of general application are also proved, the applicants will be entitled to findings in their favour on liability and it will then be appropriate to move to the next stage of the trial: a one by one examination of the circumstances of each group member, this member being called to prove reliance or causation, as the case may be, and the precise extent of his or her damage."
"In the case of R v AD [2008] NSWCCA 289, what was the Crown's complaint about special circumstances and how did the respondent address it?","In the case of R v AD [2008] NSWCCA 289, the Crown's complaint about special circumstances was that the finding and the variation of the non-parole period amounted to double counting. The respondent addressed this by asserting that the discount was inadequate and that there were particular factors that warranted a finding of special circumstances. The respondent argued that a fair reading of the judge's remarks would suggest that no double counting can be demonstrated as the issues of a new identity and relocation were taken into account on the question of special circumstances and not otherwise. The respondent also suggested that the 55 per cent discount would, and should, have been higher if this were not so.",new_south_wales,R v AD [2008] NSWCCA 289," 59 The respondent also submitted that a proper assessment of the assistance given also answers the Crown's complaint about special circumstances. The Crown's submission is that the finding and the variation of the non-parole period amounted to double counting. If the discount was inadequate, however, as the respondent asserts, then the Crown's complaint of double counting is at least ameliorated if not met entirely. In any event, the respondent argued that there were particular factors that warranted a finding of special circumstances and that a fair reading of his Honour's remarks would suggest that no double counting can be demonstrated: the issues of a new identity and relocation were taken into account on the question of special circumstances and (presumably) not otherwise. The respondent suggests, perhaps with not a little circularity, that the 55 per cent discount would, and should, have been higher if this were not so. 60 The respondent also identified a second significant discretionary matter. The sentence on Count 2 was a head sentence of 11 years and 3 months. As previously mentioned, this suggests a starting point of 25 years having regard to the 55 per cent discount. As the Crown conceded, his Honour had been misled into thinking that a standard non-parole period applied to this offence. The Crown suggests that his Honour in fact ignored this in the end result. The respondent submitted that what his Honour did in fact was to treat the standard non-parole period as a ""guide post to sentencing"". Even if that submission is not made out in terms, the respondent submitted that the head sentence on Count 2 is very high and effectively offsets any complaint raised by the Crown about concurrency and accumulation. Consideration "
